trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,4.605374382476718,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.20730109469923,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,9,-87.29205803786493,"{0: 12, 1: 2, 2: 4, 3: 3, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.77987341487972,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.730991968427425,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.5141303182464,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.27399111269082,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.8046009758614,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.05362625775204,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.01764571688585,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.95718860002883,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.45317473726753,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.81947027527463,"{0: 11, 1: 6, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.47110306500623,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.63102926380745,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,15,-64.70223220494685,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,10,-36.690975382682616,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.85461181683567,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.54533596910766,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.5232804858611,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.0966518908329,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-229.18809103047985,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.301925570769,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.8253645509702,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.46535147980542,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.26069325452328,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,5,-37.890112559191536,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.57917889962165,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-202.25803879934068,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.44472456810658,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
